,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,entropy,0,0.391025641025641,0.8125,0.03333333333333333,0.06403940886699508,0.6487946526408065
1,resnet18,entropy,1,0.3958333333333333,0.9333333333333333,0.035897435897435895,0.0691358024691358,0.7838154722770108
2,resnet18,entropy,2,0.4230769230769231,0.96875,0.07948717948717948,0.14691943127962084,0.8087442472057856
3,resnet18,entropy,3,0.4583333333333333,0.9642857142857143,0.13846153846153847,0.242152466367713,0.8325882095112864
4,resnet18,entropy,4,0.4551282051282051,0.9629629629629629,0.13333333333333333,0.23423423423423423,0.8389655928117467
5,resnet18,entropy,5,0.4599358974358974,0.9818181818181818,0.13846153846153847,0.24269662921348314,0.865899627438089
6,resnet18,entropy,6,0.48717948717948717,0.9861111111111112,0.18205128205128204,0.30735930735930733,0.8636204251588867
7,resnet18,entropy,7,0.5512820512820513,0.9741379310344828,0.28974358974358977,0.44664031620553357,0.8900723208415516
8,resnet18,entropy,8,0.5993589743589743,0.9487179487179487,0.37948717948717947,0.5421245421245421,0.8954415954415954
9,resnet18,entropy,9,0.6266025641025641,0.953757225433526,0.4230769230769231,0.5861456483126111,0.8987398641244795
10,resnet18,entropy,10,0.7115384615384616,0.96875,0.5564102564102564,0.7068403908794788,0.9188362919132149
11,resnet18,entropy,11,0.8349358974358975,0.9470404984423676,0.7794871794871795,0.8551336146272855,0.9271531886916502
12,resnet18,entropy,12,0.8798076923076923,0.926829268292683,0.8769230769230769,0.9011857707509882,0.9417707648476878
13,resnet18,entropy,13,0.8942307692307693,0.9175257731958762,0.9128205128205128,0.9151670951156813,0.9444554021477098
14,resnet18,entropy,14,0.8942307692307693,0.8932038834951457,0.9435897435897436,0.9177057356608479,0.9486960333114179
15,resnet18,entropy,15,0.9022435897435898,0.9061728395061729,0.941025641025641,0.9232704402515723,0.9506026736795968
16,resnet18,entropy,16,0.9006410256410257,0.8980582524271845,0.9487179487179487,0.9226932668329177,0.9511176857330704
17,resnet18,entropy,17,0.9022435897435898,0.8870588235294118,0.9666666666666667,0.9251533742331288,0.9567718606180144
18,resnet18,entropy,18,0.8958333333333334,0.8823529411764706,0.9615384615384616,0.9202453987730062,0.9553364014902477
19,resnet18,entropy,19,0.9086538461538461,0.8936170212765957,0.9692307692307692,0.9298892988929889,0.9625027394258163
20,resnet18,entropy,20,0.8990384615384616,0.8793503480278422,0.9717948717948718,0.9232643118148599,0.9596318211702827
21,resnet18,entropy,21,0.8974358974358975,0.8738532110091743,0.9769230769230769,0.9225181598062954,0.9611768573307035
22,resnet18,entropy,22,0.9038461538461539,0.8855140186915887,0.9717948717948718,0.9266503667481663,0.9619548542625466
23,resnet18,entropy,23,0.8910256410256411,0.8642533936651584,0.9794871794871794,0.9182692307692307,0.9581415735261889
24,resnet18,entropy,24,0.8846153846153846,0.8549107142857143,0.982051282051282,0.9140811455847255,0.9638395792241946
25,resnet18,entropy,25,0.8846153846153846,0.8549107142857143,0.982051282051282,0.9140811455847255,0.9634451019066403
26,resnet18,entropy,26,0.8862179487179487,0.8568232662192393,0.982051282051282,0.9151732377538829,0.9637300021915407
27,resnet18,entropy,27,0.8830128205128205,0.8514412416851441,0.9846153846153847,0.9131985731272295,0.9587661626123164
28,resnet18,entropy,28,0.8733974358974359,0.8387799564270153,0.9871794871794872,0.9069493521790342,0.9635546789392944
29,resnet18,entropy,29,0.8862179487179487,0.8520971302428256,0.9897435897435898,0.9157769869513642,0.9635327635327635
